#,Код КК,Наименование КК
1," 	1,001 ",Ветеринарный врач
2," 	1,002 ",Инженер-механизатор
3," 	1,003 ",Агроном
4," 	1,004 ",Эколог сельского хозяйства
5," 	1,005 ",Зоотехник
6," 	1,006 ",Инспектор сельского хозяйства
7," 	1,007 ",Эпизоотолог
8," 	1,008 ",Специалист по земельным ресурсам
9," 	1,009 ",Прочие инженеры сельского хозяйства
10," 	1,010 ",Инженер лесного хозяйства
11," 	1,011 ",Агрохимик-почвовед
12," 	1,012 ",Ихтиолог
13," 	1,101 ",Воспитатель
14," 	1,102 ",Учитель начальных классов
15," 	1,103 ",Учитель казахского языка и литературы
16," 	1,104 ",Учитель иностранного языка 
17," 	1,105 ",Учитель математики (алгебра и геометрия)
18," 	1,106 ",Учитель русского языка и литературы
19," 	1,107 ",Учитель физической культуры и спорта
20," 	1,108 ",Учитель истории
21," 	1,109 ",Учитель -методист
22," 	1,110 ",Учитель информатики
23," 	1,111 ",Педагог начальной школы
24," 	1,112 ",Учитель биологии
25," 	1,113 ",Учитель технологии
26," 	1,114 ",Учитель физики
27," 	1,115 ",Учитель географии
28," 	1,116 ",Учитель музыки
29," 	1,117 ",Учитель химии
30," 	1,118 ",Учитель-логопед
31," 	1,119 ",Учитель-дефектолог
32," 	1,120 ",Преподаватель вуза - искусство
33," 	1,121 ",Учитель средней школы (другие предметы)
34," 	1,122 ",Учитель музыкальной школы
35," 	1,123 ",Социальный педагог
36," 	1,124 ",Педагог-организатор
37," 	1,125 ",Преподаватель вуза - педагогика
38," 	1,126 ",Преподаватель колледжа - педагогика
39," 	1,127 ",Преподаватель колледжа -промышленность и производство
40," 	1,128 ",Преподаватель вуза (естественные науки)
41," 	1,129 ",Учитель самопознания 
42," 	1,130 ",Преподаватель вуза - (языки)
43," 	1,131 ",Преподаватель вуза - (медицина)
44," 	1,132 ",Преподаватель вуза - (гуманитарные науки)
45," 	1,133 ",Преподаватель языковой школы
46," 	1,134 ",Учитель изобразительного искусства
47," 	1,135 ",Преподаватель колледжа (медицина)
48," 	1,136 ",Преподаватель колледжа (языки)
49," 	1,137 ",Преподаватель по искусству и мастерству
50," 	1,138 ",Преподаватель колледжа -искусство
51," 	1,139 ",Преподаватель вуза -промышленность и производство
52," 	1,140 ",Преподаватель вуза - экономика и финансы
53," 	1,141 ",Преподаватель колледжа -естественные науки
54," 	1,142 ",Учитель иностранного языка начального образования
55," 	1,143 ",Преподаватель вуза -информатика и ИКТ
56," 	1,144 ",Преподаватель колледжа -информатика и ИКТ
57," 	1,145 ",Преподаватель колледжа - туризм
58," 	1,146 ",Консультант по профориентации
59," 	1,147 ",Преподаватель вуза - юридические дисциплины
60," 	1,148 ",Учитель черчения
61," 	1,149 ",Преподаватель колледжа - гуманитарные науки
62," 	1,150 ",Преподаватель вуза - туризм
63," 	1,151 ",Прочие специалисты в сфере образования
64," 	1,152 ",Преподаватель вуза - общественные науки
65," 	1,153 ",Преподаватель колледжа - сельское хозяйство
66," 	1,154 ",Преподаватель колледжа -физкультура
67," 	1,155 ",Преподаватель ритмики и хореографии
68," 	1,156 ",Преподаватель теологии
69," 	1,157 ",Преподаватель колледжа -общественные науки
70," 	1,158 ",Преподаватель колледжа - экономика и финансы
71," 	1,159 ",Преподаватель колледжа -архитектура и дизайн
72," 	1,160 ",Преподаватель вуза - сельское хозяйство
73," 	1,161 ",Преподаватель вуза -архитектура и дизайн
74," 	1,162 ",Преподаватель вуза - военное дело и безопасность
75," 	1,163 ",Учитель естествознания
76," 	1,164 ",Преподаватель колледжа - юридические дисциплины
77," 	1,165 ",Учитель самопознания начального образования
78," 	1,166 ",Учитель информатики начального образования
79," 	1,167 ",Инспектор в сфере образования
80," 	1,168 ",Прочие консультанты в сфере образования
81," 	1,169 ",Учитель коррекционной физической культуры
82," 	1,170 ",Преподаватель ИКТ(информационно-коммуникационных технологий)
83," 	1,171 ","Учитель по плаванию, физической культуре"
84," 	1,201 ",Бухгалтер
85," 	1,202 ",Менеджер по продажам
86," 	1,203 ",Менеджер по закупкам
87," 	1,204 ",Менеджер по работе с клиентами
88," 	1,205 ",Менеджер по кадрам
89," 	1,206 ",Торговый представитель
90," 	1,207 ",Инспектор по кадрам
91," 	1,208 ",Экономист
92," 	1,209 ",Кредитный менеджер
93," 	1,210 ",Менеджер по продукции
94," 	1,211 ",Торговый агент
95," 	1,212 ",Бухгалтер-кассир
96," 	1,213 ",Маркетолог
97," 	1,214 ",Финансовый менеджер
98," 	1,215 ",PR-менеджер
99," 	1,216 ",Менеджер по онлайн продажам
100," 	1,217 ",Аудитор
101," 	1,218 ",Оценщик
102," 	1,219 ",Региональный менеджер
103," 	1,220 ",Менеджер по развитию персонала
104," 	1,221 ",Специалист по внутренней безопасности
105," 	1,222 ",SMM (Social Media Manager)менеджер
106," 	1,223 ",Бренд менеджер
107," 	1,224 ",Риск-менеджер
108," 	1,225 ",Финансовый аналитик
109," 	1,226 ",Бизнес-аналитик
110," 	1,227 ",Экономист-аналитик
111," 	1,228 ",Финансовый консультант
112," 	1,229 ",Трейдер и брокер
113," 	1,230 ",Менеджер по коммерческому развитию
114," 	1,231 ",Экономист по труду
115," 	1,232 ",Бизнес консультант
116," 	1,233 ",Менеджер по системе менеджмента качества
117," 	1,234 ",Бухгалтер по налогам
118," 	1,235 ",Банковский специалист
119," 	1,236 ",Инженер по организации и нормированию труда
120," 	1,237 ",Менеджер по комплаенс
121," 	1,238 ",Маркетолог аналитик
122," 	1,239 ",Инженер-экономист
123," 	1,240 ",Страховой агент
124," 	1,241 ",Пресс-секретарь
125," 	1,242 ",Агент по недвижимости
126," 	1,243 ",Менеджер по сертификации
127," 	1,244 ",Рекламный агент
128," 	1,245 ",Менеджер по стратегии
129," 	1,246 ",Экономический консультант
130," 	1,247 ",Ревизор коммерческий
131," 	1,248 ",Эксперт-товаровед
132," 	1,249 ",Кредитный аналитик
133," 	1,250 ",Аналитик по страхованию
134," 	1,251 ",Менеджер по экономической безопасности
135," 	1,252 ",Инвестиционный консультант
136," 	1,253 ",HR аналитик
137," 	1,254 ",Прочие сотрудники в сфере бизнеса
138," 	1,255 ",Налоговый консультант
139," 	1,301 ",Младший медицинский персонал
140," 	1,302 ",Фельдшер
141," 	1,303 ",Врач-терапевт
142," 	1,304 ",Фармацевт (провизор)
143," 	1,305 ",Врач акушер-гинеколог
144," 	1,306 ",Врач-стоматолог
145," 	1,307 ",Медицинская сестра (высокой квалификации)
146," 	1,308 ",Врач функциональной диагностики
147," 	1,309 ",Врач-педиатр
148," 	1,310 ",Врач хирург
149," 	1,311 ",Врач терапевт прочие
150," 	1,312 ",Врач анестезиолог и реаниматолог
151," 	1,313 ",Врач общественного здравоохранения
152," 	1,314 ",Врач невропатолог
153," 	1,315 ",Врач диетолог
154," 	1,316 ",Врач-кардиолог
155," 	1,317 ","Психолог, психиатр"
156," 	1,318 ",Врач-офтальмолог
157," 	1,319 ",Врач-эпидемиолог
158," 	1,320 ",Врач-онколог
159," 	1,321 ",Врач реабилитолог
160," 	1,322 ",Врач-оториноларинголог
161," 	1,323 ",Врач-инфекционист
162," 	1,324 ",Врач-дерматовенеролог
163," 	1,325 ",Врач - эндокринолог
164," 	1,326 ",Врач-фтизиатр
165," 	1,327 ",Менеджер (фармацевтика)
166," 	1,328 ",Врач-уролог и андролог
167," 	1,329 ",Рентгенотехник
168," 	1,330 ",Врач-гигиенист
169," 	1,331 ",Врач-нефролог
170," 	1,332 ",Врач-гастроэнтеролог
171," 	1,333 ",Врач-радиолог
172," 	1,334 ",Врач -патологоанатом
173," 	1,335 ",Врач-ревматолог
174," 	1,336 ",Врач-аллерголог
175," 	1,337 ",Врач-пульмонолог
176," 	1,338 ",Врач-трансфузиолог
177," 	1,339 ",Врач клинический фармаколог
178," 	1,340 ",Врач медицинский генетик
179," 	1,341 ",Врач-сурдолог
180," 	1,342 ",Протезист
181," 	1,343 ",Врач-цитопатолог
182," 	1,344 ",Другие врачи
183," 	1,345 ",Врач-комбустиолог
184," 	1,401 ",Администратор заведения в сфере услуг
185," 	1,402 ",Администратор офиса
186," 	1,403 ",Инструктор по туризму
187," 	1,404 ",Организатор мероприятий
188," 	1,405 ",Менеджер по ресторанным услугам
189," 	1,406 ",Администратор гостиницы
190," 	1,407 ",Менеджер по туризму и гостиничному бизнесу
191,1501,Библиотекарь
192,1502,Инженерный персонал в сфере культуры
193,1503,Архивариусы и хранители музеев
194,1504,Музыкальный руководитель
195,1505,Спортивный тренер и инструктор
196,1506,Музыкант
197,1507,Спортсмен
198,1508,Артист (певец)
199,1509,Графический дизайнер
200,1510,Концертмейстер
201,1511,Балетмейстер
202,1512,Художник-постановщик
203,1513,Актер
204,1514,Фотограф
205,1515,Артист (танцор)
206,1516,Художник-дизайнер
207,1517,Режиссер
208,1518,Дизайнер промышленных изделий
209,1519,Дизайнер интерьера
210,1520,Художник (живописец)
211,1521,Арт-менеджер
212,1522,Звукорежиссер
213,1523,Дизайнер по одежде
214,1524,Административный персонал в сфере спорта
215,1525,"Ведущий, комментатор и диктор"
216,1526,Прочий персонал в сфере культуры
217,1527,Административный персонал в сфере культуры
218,1528,Дирижер
219,1529,Продюсер
220,1530,"Сценарист, писатель, редактор"
221,1531,Профессий в сфере развлечений и шоу-бизнеса
222,1532,Другие художники
223,1533,Прочие редакторы
224,1534,Артист цирка
225,1535,Скульптор
226,1536,Художник-декоратор
227,1537,Композитор/оркестратор
228,1538,Редактор художественных произведений
229,1601,Инженер-программист
230,1602,Инженер по компьютерному аппаратному обеспечению
231,1603,Системный администратор
232,1604,Инженеры по телекоммуникациям
233,1605,Разработчик мобильных приложений
234,1606,Специалист по поддержке программного обеспечения
235,1607,Администратор баз данных
236,1608,Системный аналитик
237,1609,Специалист по ИТ безопасности
238,1610,Инженер-электроник
239,1611,WEB-разработчик
240,1612,Аналитик базы данных
241,1613,Бизнес-аналитик
242,1614,Специалист по поддержке ИКТ
243,1615,Менеджер проектов ИКТ
244,1616,Мультимедийный дизайнер
245,1617,Системный инженер
246,1618,UX UI дизайнер
247,1619,Программист 1С
248,1620,Сетевой инженер
249,1621,Контент менеджер
250,1622,Технический писатель
251,1623,Дизайнер WEB-сайтов
252,1624,Сетевой администратор
253,1625,Поддержка WEB-сайтов
254,1626,ИТ аудитор
255,1627,Системный архитектор
256,1628,Инспектор связи
257,1629,Тестировщик приложений
258,1630,Руководитель проектов в телекоммуникациях
259,1631,Инженер-проектировщик телекоммуникаций
260,1632,Разработчик компьютерных игр
261,1633,ИТ архитектор
262,1634,Инженер по защите связи
263,1635,Специалист по облачным вычислениям        
264,1636,ИКТ аудитор
265,1637,Data Engineer
266,1638,Data Scientist 
267,1639,Специалист по работе с большими данными
268,1701,Статист
269,1702,Лаборант (общий профиль)
270,1703,Биолог
271,1704,Физик-лаборант
272,1705,Химик
273,1706,Химик-лаборант
274,1707,Научный сотрудник (в области общественных наук)
275,1708,Физик
276,1709,Микробиолог
277,1710,Математик
278,1711,Научный сотрудник (в области образования)
279,1712,Метеоролог
280,1713,Геофизик и геохимик
281,1714,Зоолог
282,1715,Научный сотрудник (в области сельского хозяйства)
283,1716,Гидролог
284,1717,Эпидемиолог
285,1718,Биотехнолог
286,1719,Научный сотрудник (в промышленности)
287,1720,Научный исследователь в области защиты окружающей среды
288,1721,Астроном и астрофизик
289,1722,Научный сотрудник (в области медицины)
290,1723,Биохимик
291,1724,Филолог
292,1725,Научный сотрудник (в области экологии)
293,1726,Научный сотрудник (в области географии)
294,1727,Фармаколог
295,1728,Лаборант (радиационная защита)
296,1729,Страховой статист (актуарий)
297,1730,Ботаник
298,1731,Научный исследователь в области экономики
299,1732,Физиолог и анатомист
300,1801,Юрист
301,1802,Социальный работник
302,1803,Психолог
303,1804,Переводчик
304,1805,Инспектор социальной защиты
305,1806,Журналист
306,1807,Редактор
307,1808,Социолог
308,1809,Специалист по связям с общественностью
309,1810,Юрист по интеллектуальной собственности
310,1811,Судебный эксперт
311,1812,Прочие юридические специальности
312,1813,Литературный рецензент
313,1901,Инженер-электрик
314,1902,Инженер по организации производства
315,1903,Лаборант в сфере промышленности
316,1904,Инженер-механик
317,1905,Инженер по безопасности и охране труда
318,1906,Инспектор в сфере промышленности
319,1907,Инженер на производстве
320,1908,Инженер-энергетик
321,1909,Инженер-технолог
322,1910,Инженер по организации эксплуатации и ремонту
323,1911,Инженер по контрольно-измерительным приборам и автоматике
324,1912,Геолог
325,1913,Прочие инженеры
326,1914,Инженер по нефтесервису
327,1915,Инженер-химик-технолог
328,1916,Эколог в сфере промышленности
329,1917,Инженер-конструктор
330,1918,Инженер по стандартизации
331,1919,Инженер по качеству
332,1920,Инструктор производственного обучения
333,1921,Инженер-теплотехник
334,1922,Инженер по техническому обслуживанию и испытаниям
335,1923,Инженер в области пищевой промышленности
336,1924,Инженер по бурению
337,1925,Другие техники-механики
338,1926,Инспектор по труду в сфере промышленности
339,1927,Инженер по охране окружающей среды
340,1928,Горный инженер
341,1929,Техник биолог
342,1930,Другие инженеры электрики
343,1931,Инженер-конструктор электрических машин и аппаратов
344,1932,Инженер-технолог -металлург
345,1933,Инженер-энергоменеджер
346,1934,Другие техники в сфере промышленности
347,1935,Гидрогеолог
348,1936,Инженер-ядерщик
349,1937,Инженер-биомеханик
350,1938,Инженер-технолог фармацевтической промышленности
351,1939,Разработчик микроконтроллеров
352,1940,Инженер по возобновляемым источникам энергии
353,2001,Инженер-строитель
354,2002,Инженер-сметчик
355,2003,Геодезист
356,2004,Инженер-проектировщик
357,2005,Архитектор
358,2006,Инженер по строительству систем водоснабжения и канализации
359,2007,Инженер-механик по оборудованию
360,2008,"Инженер-механик по системам отопления, охлаждения и вентиляции"
361,2009,Инспектор по техническому обслуживанию зданий
362,2010,Инженер по кадастру
363,2011,Инженер-гидротехник
364,2012,Инженер-картограф
365,2013,Инженер по эксплуатации производственных объектов
366,2014,Ландшафтный дизайнер
367,2015,Чертежник
368,2101,Логист
369,2102,Транспортный экспедитор
370,2103,Диспетчер дорожный
371,2104,Механик по ремонту транспорта
372,2105,Авиационный диспетчер
373,2106,Диспетчер по железной дороге
374,2107,Авиационный инженер
375,2108,Летчик (пилот)
376,2109,Авиационный инспектор
377,2110,Авиационный техник
378,2111,Инженер по транспорту
379,2112,Авиационный механик
380,2113,Инженер-летчик
381,2114,Механик (судовой)
382,2115,Инженер-автомеханик
383,2116,Авиационный координатор
384,2117,Инженер по безопасности движения
385,2118,Инженер по железнодорожной технике
386,2119,Авиационный инженер (вспомогательной системы)
387,2120,Инструктор производственного обучения на транспорте
388,2121,Капитан судна
389,2122,Инспектор железнодорожный
390,2123,Механик железнодорожного транспорта
391,2124,Автомеханик
392,2125,Техник аэродромной службы
393,2126,Инженер по организации перевозок
394,2127,Контролер автодорожный
395,2128,Электромеханик (судовой)
396,2129,Авиационный штурман
397,2130,Техник дорожного строительства
398,2131,Инспектор дорожный
399,2132,Инженер судостроения
400,2133,Диспетчер по флоту
401,2134,"Инженер, судовой"
402,2135,Штурман (на флоте)
403,2136,Контролер железнодорожный
404,2137,Контролер морской
405,2138,Бортинженер (бортмеханик)
406,2139,Инспектор морской
